issue_frame,term_a,term_b,weight,degree_a,degree_b
environment,carbon,energy,32,290.0,338.0
environment,energy,reduction,31,338.0,302.0
environment,emission,reduction,30,277.0,302.0
environment,energy,water,30,338.0,288.0
environment,carbon,reduction,29,290.0,302.0
environment,water,reduction,29,288.0,302.0
environment,emission,energy,28,277.0,338.0
environment,carbon,emission,27,290.0,277.0
environment,energy,supply,27,338.0,276.0
environment,chain,supply,26,230.0,276.0
environment,energy,supplier,26,338.0,256.0
environment,supply,water,26,276.0,288.0
environment,climate,energy,25,232.0,338.0
environment,supplier,reduction,25,256.0,302.0
environment,carbon,supplier,24,290.0,256.0
environment,emission,water,24,277.0,288.0
environment,energy,consumption,24,338.0,236.0
environment,carbon,supply,23,290.0,276.0
environment,carbon,water,23,290.0,288.0
environment,chain,energy,23,230.0,338.0
governance_risk,board,governance,12,83.0,97.0
governance_risk,development,governance,12,88.0,97.0
governance_risk,governance,corporate,12,97.0,85.0
governance_risk,committee,development,11,75.0,88.0
governance_risk,governance,risk,11,97.0,79.0
governance_risk,board,committee,10,83.0,75.0
governance_risk,board,development,10,83.0,88.0
governance_risk,development,corporate,10,88.0,85.0
governance_risk,development,risk,10,88.0,79.0
governance_risk,corporate,risk,10,85.0,79.0
governance_risk,board,corporate,9,83.0,85.0
governance_risk,board,risk,9,83.0,79.0
governance_risk,committee,governance,9,75.0,97.0
governance_risk,board,director,8,83.0,66.0
governance_risk,committee,corporate,8,75.0,85.0
governance_risk,committee,director,8,75.0,66.0
governance_risk,committee,risk,8,75.0,79.0
governance_risk,development,director,8,88.0,66.0
governance_risk,governance,director,8,97.0,66.0
governance_risk,corporate,director,8,85.0,66.0
innovation,advanced,development,17,101.0,119.0
innovation,advanced,application,15,101.0,80.0
innovation,application,development,13,80.0,119.0
innovation,development,production,11,119.0,59.0
innovation,development,university,11,119.0,74.0
innovation,advanced,production,9,101.0,59.0
innovation,development,energy,9,119.0,52.0
innovation,development,talent,9,119.0,69.0
innovation,advanced,energy,8,101.0,52.0
innovation,development,research,8,119.0,59.0
innovation,development,equipment,8,119.0,56.0
innovation,advanced,talent,7,101.0,69.0
innovation,advanced,university,7,101.0,74.0
innovation,application,production,7,80.0,59.0
innovation,development,school,7,119.0,56.0
innovation,production,energy,7,59.0,52.0
innovation,research,talent,7,59.0,69.0
innovation,research,university,7,59.0,74.0
innovation,talent,university,7,69.0,74.0
innovation,school,university,7,56.0,74.0
labor_talent,health,safety,29,216.0,209.0
labor_talent,development,talent,28,202.0,165.0
labor_talent,health,risk,28,216.0,193.0
labor_talent,risk,safety,25,193.0,209.0
labor_talent,development,learn,24,202.0,154.0
labor_talent,development,workplace,22,202.0,189.0
labor_talent,health,supplier,20,216.0,149.0
labor_talent,health,workplace,20,216.0,189.0
labor_talent,development,safety,19,202.0,209.0
labor_talent,safety,supplier,19,209.0,149.0
labor_talent,workplace,learn,19,189.0,154.0
labor_talent,development,health,18,202.0,216.0
labor_talent,health,occupational,18,216.0,140.0
labor_talent,risk,supplier,18,193.0,149.0
labor_talent,safety,workplace,18,209.0,189.0
labor_talent,talent,workplace,18,165.0,189.0
labor_talent,risk,improvement,17,193.0,145.0
labor_talent,health,improvement,16,216.0,145.0
labor_talent,risk,workplace,16,193.0,189.0
labor_talent,risk,occupational,16,193.0,140.0
other,art,cultural,4,21.0,21.0
other,art,participant,3,21.0,18.0
other,art,chinese,3,21.0,19.0
other,art,lecture,3,21.0,19.0
other,cultural,participant,3,21.0,18.0
other,cultural,chinese,3,21.0,19.0
other,cultural,lecture,3,21.0,19.0
other,participant,competition,3,18.0,16.0
other,participant,youth,3,18.0,16.0
other,chinese,lecture,3,19.0,19.0
other,competition,youth,3,16.0,16.0
other,art,competition,2,21.0,16.0
other,art,educational,2,21.0,14.0
other,art,youth,2,21.0,16.0
other,art,literature,2,21.0,8.0
other,cultural,competition,2,21.0,16.0
other,cultural,educational,2,21.0,14.0
other,cultural,youth,2,21.0,16.0
other,cultural,literature,2,21.0,8.0
other,participant,chinese,2,18.0,19.0
supply_chain,chain,supplier,13,87.0,91.0
supply_chain,chain,improvement,12,87.0,85.0
supply_chain,chain,supply,12,87.0,82.0
supply_chain,improvement,supplier,12,85.0,91.0
supply_chain,supplier,supply,12,91.0,82.0
supply_chain,improvement,supply,11,85.0,82.0
supply_chain,chain,production,10,87.0,72.0
supply_chain,production,supplier,10,72.0,91.0
supply_chain,raw,supplier,10,63.0,91.0
supply_chain,chain,raw,9,87.0,63.0
supply_chain,improvement,production,9,85.0,72.0
supply_chain,improvement,audit,9,85.0,62.0
supply_chain,production,supply,9,72.0,82.0
supply_chain,raw,supply,9,63.0,82.0
supply_chain,supplier,audit,9,91.0,62.0
supply_chain,chain,audit,8,87.0,62.0
supply_chain,chain,risk,8,87.0,58.0
supply_chain,improvement,raw,8,85.0,63.0
supply_chain,improvement,risk,8,85.0,58.0
supply_chain,supplier,risk,8,91.0,58.0
