,environment,governance,social,supply_chain,talent
environment,0.9999999999999976,0.1587760591011135,0.18611223163886487,0.3003474247174576,0.2984242830694378
governance,0.1587760591011135,0.9999999999999983,0.14757483494764545,0.12381697462041863,0.19460870484142676
social,0.18611223163886487,0.14757483494764545,1.0000000000000009,0.04294954836397793,0.4430348176684143
supply_chain,0.3003474247174576,0.12381697462041863,0.04294954836397793,1.0,0.31058864623797194
talent,0.2984242830694378,0.19460870484142676,0.4430348176684143,0.31058864623797194,0.9999999999999977
