keyword,score
tsmc,0.06292164567665423
management,0.03518081838941885
power,0.034839404236644146
employees,0.033305190189716206
suppliers,0.029684223767100806
water,0.02901682589786652
sustainability,0.028819164637577263
energy,0.026809236746287244
company,0.025667185023492724
quality,0.023585012109144383
innovation,0.02352793137448489
sustainable,0.02314858668723676
health,0.02312942891731427
note,0.022834608106608745
new,0.02247317229490757
safety,0.022228923310740695
business,0.02186501145299633
operations,0.021753891732966064
esg,0.021747806537256442
taiwan,0.021153519679755872
waste,0.020793809337735517
program,0.020408927211862275
green,0.020274538978191498
report,0.020069469196132922
technology,0.020053266824132002
risk,0.019919951233828018
fabs,0.019447058148645162
students,0.018971918617404798
carbon,0.01879142932922357
practices,0.018652252996522296
