keyword,score
tsmc,0.06289324566703905
management,0.03518749994813986
power,0.034742784120993825
employees,0.03325907596777423
suppliers,0.02966477136376473
water,0.029003907227041572
sustainability,0.028811984262675085
energy,0.02661295263602319
company,0.025669356094648918
quality,0.023580354963039934
innovation,0.02352417633258907
sustainable,0.023148468567090536
health,0.02310302439104413
note,0.022813928433101267
new,0.022469131827594347
safety,0.022222905369702096
business,0.02186856630680171
esg,0.021754351341451837
operations,0.02174611677218517
taiwan,0.021140046291634167
waste,0.020891644547853038
program,0.020425912012855034
green,0.020197202682636407
report,0.020057387465901404
technology,0.019993141879127506
risk,0.019906174895814
fabs,0.019438380283243167
students,0.018988726047418164
carbon,0.01879411591942726
practices,0.018650104812459385
