,environment,governance,other,social,supply_chain,talent
environment,1.0000000000000007,0.4091497217737927,0.053238321887032675,0.3183039342494544,0.4612036051297568,0.4227496957377264
governance,0.4091497217737927,1.0000000000000007,0.04173449205559187,0.3111787083635041,0.426601085571709,0.46948237125925824
other,0.053238321887032675,0.04173449205559187,1.0000000000000004,0.02526814378027004,0.04642540963180672,0.07493466775582762
social,0.3183039342494544,0.3111787083635041,0.02526814378027004,0.999999999999996,0.14402916224964513,0.5077660972108944
supply_chain,0.4612036051297568,0.426601085571709,0.04642540963180672,0.14402916224964513,1.0000000000000013,0.3497979620692947
talent,0.4227496957377264,0.46948237125925824,0.07493466775582762,0.5077660972108944,0.3497979620692947,0.9999999999999997
