section_label,term,tfidf_score
environment,energy,0.3803521193657179
environment,water,0.32458201388687363
environment,carbon,0.26435029996972187
environment,waste,0.2577405097428482
environment,emission,0.23758064933987658
environment,supplier,0.16954112065568658
environment,reduction,0.1528100890120333
environment,management,0.13830986158753378
environment,metric,0.13174345930188075
environment,consumption,0.12399384404882895
environment,climate,0.11711722150557295
environment,gas,0.107078602519381
environment,risk,0.1059632004098041
environment,gwh,0.10176085158626368
environment,green,0.10150159197149657
environment,supply,0.09815538564276591
environment,recycling,0.09283446109624055
environment,save,0.0891205754100958
environment,chain,0.08477056032784329
environment,unit,0.08365515821826641
environment,industry,0.08253975610868951
environment,impact,0.08142435399911263
environment,resource,0.08030895188953575
environment,wastewater,0.07686997658997227
environment,energy save,0.0749816801161943
environment,conservation,0.07491294744616749
environment,acid,0.073855467704091
environment,carbon emission,0.07319640201818965
environment,recycle,0.07234821326115037
environment,plant,0.07141112392018503
governance,management,0.3341538208965155
governance,risk,0.27967221966338796
governance,employee,0.25787957917013693
governance,committee,0.23245483192801078
governance,director,0.22711707874773102
governance,tax,0.2110484519092385
governance,board,0.16402900131780576
governance,ethic,0.13458789851717395
governance,governance,0.13458789851717395
governance,patent,0.11776441120252722
governance,risk management,0.10169898896850471
governance,harassment,0.09882844019750277
governance,compliance,0.09806688221962954
governance,board director,0.09673505205921878
governance,audit,0.0883233084018954
governance,materiality,0.08411743657323371
governance,issue,0.08353845522412888
governance,executive,0.07991156474457203
governance,internal,0.07990634847525371
governance,policy,0.07990634847525371
governance,industry,0.07627424172637855
governance,sexual harassment,0.07557468956279624
governance,sexual,0.07557468956279624
governance,impact,0.07264213497750337
governance,stakeholder,0.07264213497750337
governance,rate,0.07264213497750337
governance,regulatory,0.07149982108724866
governance,chairman,0.07149982108724866
governance,channel,0.0690100282286282
governance,communication,0.0690100282286282
other,thermal,0.2119290942335674
other,zeolite,0.19523847956795923
other,rotor,0.19523847956795923
other,concentrator,0.19523847956795923
other,gas,0.15683228528267162
