section_label,issue_frame,count,share
environment,environment,64,0.8421
environment,governance_risk,3,0.0395
environment,innovation,5,0.0658
environment,other,4,0.0526
governance,environment,1,0.0455
governance,governance_risk,18,0.8182
governance,innovation,2,0.0909
governance,other,1,0.0455
other,environment,1,0.1667
other,innovation,2,0.3333
other,other,3,0.5
social,environment,4,0.1739
social,governance_risk,4,0.1739
social,innovation,2,0.087
social,labor_talent,7,0.3043
social,other,6,0.2609
supply_chain,environment,5,0.2
supply_chain,governance_risk,2,0.08
supply_chain,innovation,2,0.08
supply_chain,other,1,0.04
supply_chain,supply_chain,15,0.6
talent,environment,1,0.013
talent,governance_risk,2,0.026
talent,innovation,8,0.1039
talent,labor_talent,65,0.8442
talent,other,1,0.013
