,SDG12_consumption,SDG13_climate,SDG17_partnership,SDG3_health,SDG4_education,SDG6_water,SDG7_energy,SDG8_labor,SDG9_innovation
SDG12_consumption,1.000000000000011,0.4630634116958955,0.252215701599879,0.24025208024794786,0.22905297086678902,0.5871207273310677,0.24205456400566436,0.2147716488913237,0.06362977611613052
SDG13_climate,0.4630634116958955,1.0000000000000073,0.3382153786088461,0.1677455363653894,0.140605012870596,0.3099830894467748,0.5310457853380774,0.16137875574468935,0.07793832350042133
SDG17_partnership,0.252215701599879,0.3382153786088461,1.000000000000009,0.3541850838523068,0.27160038120480867,0.14570387897560955,0.17167881040466854,0.30640970476085366,0.12952055082962188
SDG3_health,0.24025208024794786,0.1677455363653894,0.3541850838523068,0.9999999999999906,0.23280307383430437,0.11771312887226003,0.08304749141644822,0.33504940191321164,0.0703744450096514
SDG4_education,0.22905297086678902,0.140605012870596,0.27160038120480867,0.23280307383430437,0.9999999999999986,0.08043882072739797,0.22589164943082304,0.28462891342437047,0.3684189322120751
SDG6_water,0.5871207273310677,0.3099830894467748,0.14570387897560955,0.11771312887226003,0.08043882072739797,0.9999999999999999,0.13277265148437503,0.08661082674891603,0.040196265281466234
SDG7_energy,0.24205456400566436,0.5310457853380774,0.17167881040466854,0.08304749141644822,0.22589164943082304,0.13277265148437503,0.9999999999999941,0.0868407089182892,0.07186923854591253
SDG8_labor,0.2147716488913237,0.16137875574468935,0.30640970476085366,0.33504940191321164,0.28462891342437047,0.08661082674891603,0.0868407089182892,0.9999999999999902,0.06521074458603254
SDG9_innovation,0.06362977611613052,0.07793832350042133,0.12952055082962188,0.0703744450096514,0.3684189322120751,0.040196265281466234,0.07186923854591253,0.06521074458603254,1.0000000000000024
