,environment,governance,other,social,supply_chain,talent
environment,1.0000000000000004,0.3389428817259983,0.1520813515680629,0.24711992359643792,0.4964126396880944,0.34297044794030757
governance,0.3389428817259983,1.0000000000000049,0.059948785716544196,0.21264659086612128,0.37844418652220596,0.5352621554603999
other,0.1520813515680629,0.059948785716544196,1.0,0.014481668459073676,0.06614776896658864,0.05144940627102509
social,0.24711992359643792,0.21264659086612128,0.014481668459073676,1.0000000000000155,0.15153686853099088,0.36825889462508005
supply_chain,0.4964126396880944,0.37844418652220596,0.06614776896658864,0.15153686853099088,0.9999999999999996,0.5347793421558392
talent,0.34297044794030757,0.5352621554603999,0.05144940627102509,0.36825889462508005,0.5347793421558392,0.9999999999999987
