issue_frame,term_a,term_b,weight,degree_a,degree_b
environment,carbon,energy,35,300.0,354.0
environment,carbon,emission,32,300.0,292.0
environment,emission,reduction,32,292.0,291.0
environment,chain,supply,31,247.0,265.0
environment,emission,energy,30,292.0,354.0
environment,carbon,reduction,29,300.0,291.0
environment,climate,energy,29,220.0,354.0
environment,energy,reduction,29,354.0,291.0
environment,energy,consumption,29,354.0,260.0
environment,chain,energy,28,247.0,354.0
environment,energy,supply,28,354.0,265.0
environment,energy,waste,28,354.0,234.0
environment,efficiency,energy,27,220.0,354.0
environment,carbon,chain,25,300.0,247.0
environment,carbon,supply,24,300.0,265.0
environment,carbon,consumption,23,300.0,260.0
environment,chain,reduction,23,247.0,291.0
environment,reduction,supply,23,291.0,265.0
environment,reduction,waste,23,291.0,234.0
environment,reduction,consumption,23,291.0,260.0
governance_risk,board,committee,12,88.0,76.0
governance_risk,board,director,12,88.0,75.0
governance_risk,board,governance,12,88.0,84.0
governance_risk,board,risk,11,88.0,79.0
governance_risk,governance,risk,11,84.0,79.0
governance_risk,board,executive,10,88.0,72.0
governance_risk,committee,director,10,76.0,75.0
governance_risk,committee,governance,10,76.0,84.0
governance_risk,director,executive,10,75.0,72.0
governance_risk,director,governance,10,75.0,84.0
governance_risk,executive,governance,10,72.0,84.0
governance_risk,committee,executive,9,76.0,72.0
governance_risk,committee,risk,9,76.0,79.0
governance_risk,director,risk,9,75.0,79.0
governance_risk,board,financial,8,88.0,46.0
governance_risk,executive,risk,8,72.0,79.0
governance_risk,committee,financial,7,76.0,46.0
governance_risk,executive,serve,6,72.0,41.0
governance_risk,financial,governance,6,46.0,84.0
governance_risk,financial,risk,6,46.0,79.0
innovation,national,university,8,46.0,50.0
innovation,research,university,8,46.0,50.0
innovation,national,research,7,46.0,46.0
innovation,research,student,7,46.0,42.0
innovation,student,university,7,42.0,50.0
innovation,national,student,6,46.0,42.0
innovation,university,school,6,50.0,35.0
innovation,partner,research,5,37.0,46.0
innovation,partner,university,5,37.0,50.0
innovation,national,school,5,46.0,35.0
innovation,national,camp,5,46.0,28.0
innovation,research,school,5,46.0,35.0
innovation,research,camp,5,46.0,28.0
innovation,student,school,5,42.0,35.0
innovation,university,camp,5,50.0,28.0
innovation,partner,student,4,37.0,42.0
innovation,partner,national,4,37.0,46.0
innovation,student,camp,4,42.0,28.0
innovation,school,camp,4,35.0,28.0
innovation,device,partner,3,28.0,37.0
labor_talent,health,safety,28,165.0,151.0
labor_talent,inclusive,workplace,24,94.0,173.0
labor_talent,workplace,health,21,173.0,165.0
labor_talent,workplace,safety,21,173.0,151.0
labor_talent,health,occupational,19,165.0,112.0
labor_talent,occupational,safety,19,112.0,151.0
labor_talent,health,risk,18,165.0,114.0
labor_talent,risk,safety,18,114.0,151.0
labor_talent,health,contractor,17,165.0,94.0
labor_talent,workplace,occupational,16,173.0,112.0
labor_talent,human,right,16,95.0,91.0
labor_talent,safety,contractor,15,151.0,94.0
labor_talent,workplace,right,14,173.0,91.0
labor_talent,workplace,risk,13,173.0,114.0
labor_talent,learn,workplace,12,85.0,173.0
labor_talent,workplace,human,12,173.0,95.0
labor_talent,workplace,contractor,12,173.0,94.0
labor_talent,health,human,12,165.0,95.0
labor_talent,occupational,risk,12,112.0,114.0
labor_talent,inclusive,health,11,94.0,165.0
other,cultural,participant,5,29.0,17.0
other,cultural,school,5,29.0,22.0
other,cultural,student,5,29.0,22.0
other,art,cultural,4,17.0,29.0
other,cultural,youth,4,29.0,19.0
other,participant,school,4,17.0,22.0
other,school,student,4,22.0,22.0
other,art,youth,3,17.0,19.0
other,cultural,literary,3,29.0,15.0
other,cultural,literature,3,29.0,15.0
other,participant,youth,3,17.0,19.0
other,participant,student,3,17.0,22.0
other,youth,school,3,19.0,22.0
other,literary,student,3,15.0,22.0
other,literary,literature,3,15.0,15.0
other,literature,student,3,15.0,22.0
other,art,participant,2,17.0,17.0
other,art,literary,2,17.0,15.0
other,art,literature,2,17.0,15.0
other,art,school,2,17.0,22.0
supply_chain,chain,supply,14,69.0,84.0
supply_chain,supply,risk,14,84.0,82.0
supply_chain,chain,risk,12,69.0,82.0
supply_chain,supply,audit,12,84.0,70.0
supply_chain,audit,risk,12,70.0,82.0
supply_chain,raw,supply,11,70.0,84.0
supply_chain,raw,risk,11,70.0,82.0
supply_chain,supply,safety,11,84.0,66.0
supply_chain,risk,safety,11,82.0,66.0
supply_chain,chain,raw,10,69.0,70.0
supply_chain,chain,audit,10,69.0,70.0
supply_chain,audit,safety,10,70.0,66.0
supply_chain,chain,safety,9,69.0,66.0
supply_chain,raw,audit,9,70.0,70.0
supply_chain,supply,health,9,84.0,57.0
supply_chain,risk,health,9,82.0,57.0
supply_chain,raw,safety,8,70.0,66.0
supply_chain,audit,health,8,70.0,57.0
supply_chain,safety,health,8,66.0,57.0
supply_chain,chain,health,7,69.0,57.0
